"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.sale.SaleBatch.r";"com.axelor.apps.sale.db.SaleBatch";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Sale Read"
"perm.sale.SaleOrder.r";"com.axelor.apps.sale.db.SaleOrder";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Sale Read"
"perm.sale.AdvancePayment.r";"com.axelor.apps.sale.db.AdvancePayment";"x";;;;;;;"Sale Read"
"perm.sale.Configurator.r";"com.axelor.apps.sale.db.Configurator";"x";;;;;;;"Sale Read"
"perm.sale.ConfiguratorFormula.r";"com.axelor.apps.sale.db.ConfiguratorFormula";"x";;;;;;;"Sale Read"
"perm.sale.SaleOrderLine.r";"com.axelor.apps.sale.db.SaleOrderLine";"x";;;;;;;"Sale Read"
"perm.sale.SaleOrderLineTax.r";"com.axelor.apps.sale.db.SaleOrderLineTax";"x";;;;;;;"Sale Read"
"perm.sale.ConfiguratorCreator.r";"com.axelor.apps.sale.db.ConfiguratorCreator";"x";;;;;;;"Sale Read"
"perm.sale.SaleConfig.r";"com.axelor.apps.sale.db.SaleConfig";"x";;;;;;;"Sale Read"
"perm.sale.SaleOrderScheduleLine.r";"com.axelor.apps.sale.db.SaleOrderScheduleLine";"x";;;;;;;"Sale Read"
"perm.sale.SaleBatch.rwc";"com.axelor.apps.sale.db.SaleBatch";"x";"x";"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Sale User"
"perm.sale.SaleOrder.rwc";"com.axelor.apps.sale.db.SaleOrder";"x";"x";"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Sale User"
"perm.sale.AdvancePayment.rwc";"com.axelor.apps.sale.db.AdvancePayment";"x";"x";"x";;;;;"Sale User"
"perm.sale.Configurator.rwc";"com.axelor.apps.sale.db.Configurator";"x";"x";"x";;;;;"Sale User"
"perm.sale.ConfiguratorFormula.rwc";"com.axelor.apps.sale.db.ConfiguratorFormula";"x";"x";"x";;;;;"Sale User"
"perm.sale.SaleOrderLine.rwc";"com.axelor.apps.sale.db.SaleOrderLine";"x";"x";"x";;;;;"Sale User"
"perm.sale.SaleOrderLineTax.rwc";"com.axelor.apps.sale.db.SaleOrderLineTax";"x";"x";"x";;;;;"Sale User"
"perm.sale.ConfiguratorCreator.rwc";"com.axelor.apps.sale.db.ConfiguratorCreator";"x";"x";"x";;;;;"Sale User"
"perm.sale.SaleConfig.rwc";"com.axelor.apps.sale.db.SaleConfig";"x";"x";"x";;;;;"Sale User"
"perm.sale.SaleOrderScheduleLine.rwc";"com.axelor.apps.sale.db.SaleOrderScheduleLine";"x";"x";"x";;;;;"Sale User"
"perm.sale.SaleBatch.rwcde";"com.axelor.apps.sale.db.SaleBatch";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Sale Manager"
"perm.sale.SaleOrder.rwcde";"com.axelor.apps.sale.db.SaleOrder";"x";"x";"x";"x";"x";"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Sale Manager"
"perm.sale.AdvancePayment.rwcde";"com.axelor.apps.sale.db.AdvancePayment";"x";"x";"x";"x";"x";;;"Sale Manager"
"perm.sale.Configurator.rwcde";"com.axelor.apps.sale.db.Configurator";"x";"x";"x";"x";"x";;;"Sale Manager"
"perm.sale.ConfiguratorFormula.rwcde";"com.axelor.apps.sale.db.ConfiguratorFormula";"x";"x";"x";"x";"x";;;"Sale Manager"
"perm.sale.SaleOrderLine.rwcde";"com.axelor.apps.sale.db.SaleOrderLine";"x";"x";"x";"x";"x";;;"Sale Manager"
"perm.sale.SaleOrderLineTax.rwcde";"com.axelor.apps.sale.db.SaleOrderLineTax";"x";"x";"x";"x";"x";;;"Sale Manager"
"perm.sale.ConfiguratorCreator.rwcde";"com.axelor.apps.sale.db.ConfiguratorCreator";"x";"x";"x";"x";"x";;;"Sale Manager"
"perm.sale.SaleConfig.rwcde";"com.axelor.apps.sale.db.SaleConfig";"x";"x";"x";"x";"x";;;"Sale Manager"
"perm.sale.SaleOrderScheduleLine.rwcde";"com.axelor.apps.sale.db.SaleOrderScheduleLine";"x";"x";"x";"x";"x";;;"Sale Manager"
