"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.stock.all";"com.axelor.apps.stock.db.*";"x";"x";"x";"x";"x";;;"role.admin"
"perm.stock.StockConfig.r";"com.axelor.apps.stock.db.StockConfig";"x";;;;;;;"role.stock.r"
"perm.stock.CustomsCodeNomenclature.r";"com.axelor.apps.stock.db.CustomsCodeNomenclature";"x";;;;;;;"role.stock.r"
"perm.stock.ShipmentMode.r";"com.axelor.apps.stock.db.ShipmentMode";"x";;;;;;;"role.stock.r"
"perm.stock.StockMove.r";"com.axelor.apps.stock.db.StockMove";"x";;;;;"self.company in (?)";"__user__.companySet";"role.stock.r"
"perm.stock.StockLocationLine.r";"com.axelor.apps.stock.db.StockLocationLine";"x";;;;;;;"role.stock.r"
"perm.stock.Inventory.r";"com.axelor.apps.stock.db.Inventory";"x";;;;;;;"role.stock.r"
"perm.stock.StockLocation.r";"com.axelor.apps.stock.db.StockLocation";"x";;;;;"self.company in (?)";"__user__.companySet";"role.stock.r"
"perm.stock.Incoterm.r";"com.axelor.apps.stock.db.Incoterm";"x";;;;;;;"role.stock.r"
"perm.stock.StockMoveLine.r";"com.axelor.apps.stock.db.StockMoveLine";"x";;;;;;;"role.stock.r"
"perm.stock.TrackingNumberConfiguration.r";"com.axelor.apps.stock.db.TrackingNumberConfiguration";"x";;;;;;;"role.stock.r"
"perm.stock.InventoryLine.r";"com.axelor.apps.stock.db.InventoryLine";"x";;;;;;;"role.stock.r"
"perm.stock.TrackingNumber.r";"com.axelor.apps.stock.db.TrackingNumber";"x";;;;;;;"role.stock.r"
"perm.stock.PartnerStockSettings.r";"com.axelor.apps.stock.db.PartnerStockSettings";"x";;;;;"self.company in (?)";"__user__.companySet";"role.stock.r"
"perm.stock.FreightCarrierMode.r";"com.axelor.apps.stock.db.FreightCarrierMode";"x";;;;;;;"role.stock.r"
"perm.stock.LogisticalFormLine.r";"com.axelor.apps.stock.db.LogisticalFormLine";"x";;;;;;;"role.stock.r"
"perm.stock.FreightCarrierCustomerAccountNumber.r";"com.axelor.apps.stock.db.FreightCarrierCustomerAccountNumber";"x";;;;;;;"role.stock.r"
"perm.stock.StockRules.r";"com.axelor.apps.stock.db.StockRules";"x";;;;;;;"role.stock.r"
"perm.stock.PartnerProductQualityRating.r";"com.axelor.apps.stock.db.PartnerProductQualityRating";"x";;;;;;;"role.stock.r"
"perm.stock.LogisticalForm.r";"com.axelor.apps.stock.db.LogisticalForm";"x";;;;;"self.company in (?)";"__user__.companySet";"role.stock.r"
"perm.stock.StockConfig.rwc";"com.axelor.apps.stock.db.StockConfig";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.CustomsCodeNomenclature.rwc";"com.axelor.apps.stock.db.CustomsCodeNomenclature";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.ShipmentMode.rwc";"com.axelor.apps.stock.db.ShipmentMode";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.StockMove.rwc";"com.axelor.apps.stock.db.StockMove";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.stock.rwc"
"perm.stock.StockLocationLine.rwc";"com.axelor.apps.stock.db.StockLocationLine";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.Inventory.rwc";"com.axelor.apps.stock.db.Inventory";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.StockLocation.rwc";"com.axelor.apps.stock.db.StockLocation";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.stock.rwc"
"perm.stock.Incoterm.rwc";"com.axelor.apps.stock.db.Incoterm";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.StockMoveLine.rwc";"com.axelor.apps.stock.db.StockMoveLine";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.TrackingNumberConfiguration.rwc";"com.axelor.apps.stock.db.TrackingNumberConfiguration";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.InventoryLine.rwc";"com.axelor.apps.stock.db.InventoryLine";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.TrackingNumber.rwc";"com.axelor.apps.stock.db.TrackingNumber";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.PartnerStockSettings.rwc";"com.axelor.apps.stock.db.PartnerStockSettings";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.stock.rwc"
"perm.stock.FreightCarrierMode.rwc";"com.axelor.apps.stock.db.FreightCarrierMode";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.LogisticalFormLine.rwc";"com.axelor.apps.stock.db.LogisticalFormLine";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.FreightCarrierCustomerAccountNumber.rwc";"com.axelor.apps.stock.db.FreightCarrierCustomerAccountNumber";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.StockRules.rwc";"com.axelor.apps.stock.db.StockRules";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.PartnerProductQualityRating.rwc";"com.axelor.apps.stock.db.PartnerProductQualityRating";"x";"x";"x";;;;;"role.stock.rwc"
"perm.stock.LogisticalForm.rwc";"com.axelor.apps.stock.db.LogisticalForm";"x";"x";"x";;;"self.company in (?)";"__user__.companySet";"role.stock.rwc"
"perm.stock.StockConfig.rwcde";"com.axelor.apps.stock.db.StockConfig";"x";"x";"x";"x";"x";;;"role.stock.rwcde"
"perm.stock.CustomsCodeNomenclature.rwcde";"com.axelor.apps.stock.db.CustomsCodeNomenclature";"x";"x";"x";"x";"x";;;"role.stock.rwcde"
"perm.stock.ShipmentMode.rwcde";"com.axelor.apps.stock.db.ShipmentMode";"x";"x";"x";"x";"x";;;"role.stock.rwcde"
"perm.stock.StockMove.rwcde";"com.axelor.apps.stock.db.StockMove";"x";"x";"x";"x";"x";"self.company in (?)";"__user__.companySet";"role.stock.rwcde"
"perm.stock.StockLocationLine.rwcde";"com.axelor.apps.stock.db.StockLocationLine";"x";"x";"x";"x";"x";;;"role.stock.rwcde"
"perm.stock.Inventory.rwcde";"com.axelor.apps.stock.db.Inventory";"x";"x";"x";"x";"x";;;"role.stock.rwcde"
"perm.stock.StockLocation.rwcde";"com.axelor.apps.stock.db.StockLocation";"x";"x";"x";"x";"x";"self.company in (?)";"__user__.companySet";"role.stock.rwcde"
