"key","message","comment","context"
"Accordance","","","resources/domains/StockMoveLine.xml:22"
"Action(s)","","","resources/views/Location.xml:42
resources/views/Inventory.xml:43
resources/views/CreateInventoryWizard.xml:19
resources/views/StockMove.xml:95"
"Address","","","resources/domains/Location.xml:19"
"Alert","","","resources/views/Selects.xml:46"
"Arrivals History","","","resources/views/StockMove.xml:288"
"Basic","","","resources/views/CreateInventoryWizard.xml:8
resources/views/StockConfig.xml:13"
"Cancel","","","resources/views/StockMove.xml:98
resources/views/Inventory.xml:46"
"Canceled","","","resources/views/Selects.xml:31
resources/views/Selects.xml:24"
"Cancelled Arrivals","","","resources/views/StockMove.xml:291"
"Code","","","resources/domains/StockConfig.xml:11"
"Company","","","resources/domains/StockConfig.xml:13
resources/domains/StockMove.xml:26
resources/domains/Location.xml:13"
"Compliant","","","resources/views/Selects.xml:52"
"Configuration","","","resources/views/menu.xml:138
resources/views/StockMove.xml:89"
"Country","","","resources/views/Charts.xml:72
resources/views/Charts.xml:113
resources/views/Charts.xml:35"
"Create inventory","","","resources/views/CreateInventoryWizard.xml:7
resources/views/Location.xml:59
resources/views/Location.xml:21"
"Current","","","resources/views/Selects.xml:41"
"Current Qty","","","resources/domains/InventoryLine.xml:12
resources/domains/LocationLine.xml:13"
"Customer Deliveries","","","resources/views/menu.xml:13
resources/views/menu.xml:10"
"Customer average delivery delay","","","resources/views/Charts.xml:154
resources/views/portal.xml:31"
"Customer deliveries","","","resources/views/menu.xml:207
resources/views/menu.xml:204"
"Customer deliveries by country","","","resources/views/portal.xml:7
resources/views/Charts.xml:6"
"Customer deliveries filters","","","resources/views/StockMove.xml:266"
"Customer deliveries statistics","","","resources/views/Charts.xml:118
resources/views/portal.xml:25"
"Customer virtual location","","","resources/domains/StockConfig.xml:15"
"Dashboard","","","resources/views/portal.xml:52
resources/views/portal.xml:39
resources/views/portal.xml:64"
"Date","","","resources/domains/Inventory.xml:13
resources/views/Charts.xml:462
resources/views/Charts.xml:305"
"Default location","","","resources/domains/Location.xml:16"
"Delay","","","resources/views/Charts.xml:182"
"Deliveries Cancelled","","","resources/views/StockMove.xml:276"
"Deliveries History","","","resources/views/StockMove.xml:273"
"Deliveries to prepare","","","resources/views/StockMove.xml:267"
"Description","","","resources/domains/InventoryLine.xml:14
resources/views/Inventory.xml:30
resources/views/CreateInventoryWizard.xml:11
resources/domains/Inventory.xml:14"
"Details Location lines","","","resources/domains/Location.xml:18"
"Draft","","","resources/views/Selects.xml:21
resources/views/Inventory.xml:47
resources/views/Selects.xml:28
resources/views/StockMove.xml:99"
"Estimated Date","","","resources/views/Charts.xml:389
resources/views/Charts.xml:245"
"Estimated date","","","resources/domains/StockMove.xml:17"
"Excl. out of stock products ?","","","resources/domains/Inventory.xml:21"
"Exclude out of stock products ?","","","resources/views/CreateInventoryWizard.xml:16"
"Export","","","resources/views/Inventory.xml:22"
"Expéditions clients","","","resources/views/menu.xml:93
resources/views/menu.xml:96"
"External","","","resources/views/Selects.xml:11"
"File Format","","","resources/domains/Inventory.xml:16"
"File Path","","","resources/domains/Inventory.xml:17"
"Fill inventory","","","resources/views/Inventory.xml:40"
"Fill inventory with","","","resources/views/Inventory.xml:33
resources/views/CreateInventoryWizard.xml:13"
"Forecasted Stock","","","resources/views/Charts.xml:309"
"Forecasts","","","resources/views/menu.xml:50"
"From","","","resources/views/Charts.xml:403
resources/views/Charts.xml:251"
"From address","","","resources/domains/StockMove.xml:23"
"From location","","","resources/domains/StockMove.xml:14"
"Future","","","resources/views/Selects.xml:42"
"Future Qty","","","resources/domains/LocationLine.xml:14"
"Generate inc. moves for non storable products ?","","","resources/domains/StockConfig.xml:22"
"Generate inc. moves for storable products ?","","","resources/domains/StockConfig.xml:21"
"Generate invoice","","","resources/views/StockMove.xml:100"
"Generate out. moves for non storable products ?","","","resources/domains/StockConfig.xml:20"
"Generate out. moves for storable products ?","","","resources/domains/StockConfig.xml:19"
"Generate reversion","","","resources/views/StockMove.xml:101"
"Historical Period","","","resources/views/Charts.xml:80
resources/views/Charts.xml:42
resources/views/Charts.xml:9
resources/views/Charts.xml:121
resources/views/Charts.xml:157"
"Import","","","resources/views/Inventory.xml:26
resources/domains/Location.xml:10
resources/views/Inventory.xml:28
resources/domains/StockMove.xml:10
resources/domains/StockConfig.xml:9
resources/domains/StockMoveLine.xml:12"
"Incl. obsolete products ?","","","resources/domains/Inventory.xml:22"
"Include obsolete products ?","","","resources/views/CreateInventoryWizard.xml:17"
"Incoming move","","","resources/views/Selects.xml:37"
"Internal","","","resources/views/Selects.xml:10"
"Internal Stock Move filters","","","resources/views/StockMove.xml:296"
"Internal Stock Moves","","","resources/views/menu.xml:39
resources/views/menu.xml:36"
"Internal move","","","resources/views/Selects.xml:35"
"Internal moves","","","resources/views/menu.xml:218
resources/views/menu.xml:215"
"Inventories","","","resources/views/menu.xml:119
resources/views/menu.xml:122"
"Inventories History","","","resources/views/Inventory.xml:137"
"Inventories filters","","","resources/views/Inventory.xml:133"
"Inventory","","","resources/domains/InventoryLine.xml:10
resources/views/Inventory.xml:6
resources/views/Inventory.xml:15"
"Inventory N°","","","resources/domains/Inventory.xml:10"
"Inventory date","","","resources/views/CreateInventoryWizard.xml:10"
"Inventory generated","","","resources/views/CreateInventoryWizard.xml:46"
"Inventory line","","","resources/views/InventoryLine.xml:15"
"Inventory lines","","","resources/views/InventoryLine.xml:6
resources/domains/Inventory.xml:15"
"Inventory virtual location","","","resources/domains/StockConfig.xml:17"
"Inventory.code","","","java/com/axelor/apps/stock/report/ITranslation.java:42"
"Inventory.date","","","java/com/axelor/apps/stock/report/ITranslation.java:40"
"Inventory.description","","","java/com/axelor/apps/stock/report/ITranslation.java:45"
"Inventory.location","","","java/com/axelor/apps/stock/report/ITranslation.java:41"
"Inventory.name","","","java/com/axelor/apps/stock/report/ITranslation.java:39"
"Inventory.realQty","","","java/com/axelor/apps/stock/report/ITranslation.java:44"
"Inventory.title","","","java/com/axelor/apps/stock/report/ITranslation.java:38"
"Inventory.unit","","","java/com/axelor/apps/stock/report/ITranslation.java:43"
"Last Future Stock Move","","","resources/domains/LocationLine.xml:15"
