"key","message","comment","context"
"${fullName} plan. st. move","${fullName} plan. st. move",,
"${fullName} real st. move","${fullName} real st. move",,
"0.00",,,
"0.50",,,
"1.00",,,
"1.50",,,
"2.00",,,
"2.50",,,
"3.00",,,
"3.50",,,
"4.00",,,
"4.50",,,
"5.00",,,
"<B>%s or %s</B> not found","<B>%s lub %s</B> nie znaleziono",,
"<span class='label label-warning'>Warning : Delivery address is missing.</span>",,,
"A cancel reason must be selected","Należy wybrać przyczynę anulowania",,
"A partial stock move has been generated (%s)","Częściowe przesunięcie zapasów zostało wygenerowane (%s)",,
"ABC analysis",,,
"AbcAnalysis.stockLocation",,,
"Account selection to carrier","Wybór konta przewoźnika",,
"Accounting family",,,
"Accounting value",,,
"Add","Dodaj",,
"Address","Adres",,
"Alert","Alert",,
"All storable products used in DEB must have net mass and mass unit information for customs.","Wszystkie produkty magazynowe używane w DEB muszą posiadać informację o masie netto i jednostce masy dla potrzeb celnych.",,
"Allocate all",,,
"Allocations of costs","Podział kosztów",,
"An error occurred while importing the file data, product not found with code :","Wystąpił błąd podczas importowania danych pliku, produkt nie został znaleziony z kodem :",,
"An error occurred while importing the file data, there are multiple products with code :","Wystąpił błąd podczas importowania danych pliku, istnieje wiele produktów z kodem :",,
"An error occurred while importing the file data. Please contact your application administrator to check Traceback logs.","Wystąpił błąd podczas importowania danych z pliku. Skontaktuj się z administratorem aplikacji, aby sprawdzić logi Traceback.",,
"An incoming partial stock move has been generated (%s)","Wygenerowano częściową zmianę stanu zapasów przychodzących (%s)",,
"An outgoing partial stock move has been generated (%s)","Wychodzący częściowy ruch zapasów został wygenerowany (%s)",,
"App stock","Zapasy aplikacji",,
"Are you sure you want to change status to  ""Collected "" ?",,,
"Are you sure you want to go back to provision ?",,,
"Are you sure you want to realize this stock move?","Czy na pewno chcesz zrealizować ten ruch akcji?",,
"Are you sure you want to validate the carrier?",,,
"Arrival product qty","Ilość produktu przyjeżdżającego",,
"Arrivals History","Historia przyjazdów",,
"Auto product tracking Nbr. order","Automatyczne śledzenie produktu Zamówienie Nbr.",,
"Auto sale tracking Nbr. order","Automatyczne śledzenie sprzedaży Zamówienie Nbr.",,
"Auto select product tracking Nbr.","Automatyczne śledzenie produktów Nbr.",,
"Auto select sale tracking Nbr.","Automatyczny wybór sprzedaży Śledzenie sprzedaży Nbr.",,
"Av. for product","Av. dla produktu",,
"Availability",,,
"Availability request","Wniosek o dostępność",,
"Available","Dostępne",,
