"name";"roles.name"
"app-builder-root";"Admin"
"app-builder-models-views";"Admin"
"app-builder-models-views-model-studio";"Admin"
"app-builder-models-views-custom-models";"Admin"
"app-builder-models-views-custom-fields";"Admin"
"app-builder-bpm";"Admin"
"app-builder-bpm-process-studio";"Admin"
"app-builder-bpm-process-tracking";"Admin"
"app-builder-bpm-actions-reporting";"Admin"
"app-builder-bpm-actions-reporting-chart-builders";"Admin"
"app-builder-bpm-actions-reporting-dashboard-builders";"Admin"
"app-builder-bpm-actions-reporting-action-builders";"Admin"
"app-builder-bpm-actions-reporting-menu-builders";"Admin"
"app-builder-bpm-apps-configurator";"Admin"
