"key","message","comment","context"
"'%s' model is not a custom model",,,
"<b>Tags:</b> $user: Current user, $date: Today's date, $time: Current time",,,
"AND",,,
"Action",,,
"Action Builder",,,
"Action builder",,,
"Action builders",,,
"Actions",,,
"Activate the hand tool",,,
"Aggregate",,,
"Aggregate On",,,
"Aggregate On type",,,
"Aggregate date type",,,
"Alert",,,
"Alert or Blocking condition",,,
"All",,,
"App Builder",,,
"App builder",,,
"App builders",,,
"App name",,,
"Append end node",,,
"Append intermediate node",,,
"Are you sure wants to restart the server?",,,
"Area",,,
"Assign value to",,,
"BPM",,,
"Background",,,
"Bar",,,
"Blocking",,,
"Boolean",,,
"Bpmn xml",,,
"Build error log",,,
"Button",,,
"Button title",,,
"Calendar builders",,,
"Cards builders",,,
"Chart builder",,,
"Chart builders",,,
"Chart type",,,
"ChartBuilder.Group",,,
"Code",,,
"Col Span",,,
"Color by",,,
>>>>>>> RM#15572 Create separate fields for import, export and generated file
"Colspan",,,
"Column By",,,
"Condition",,,
"Conditions",,,
"Configuration",,,
"Connect using transition",,,
"Context",,,
"Create",,,
"Create end node",,,
"Create intermediate node",,,
"Create start node",,,
"Custom",,,
"Custom Field",,,
"Custom Model",,,
"Custom field",,,
"Custom fields",,,
"Custom model",,,
"Custom models",,,
"Custom search",,,
"Dashboard",,,
"Dashboard builder",,,
"Dashboard builders",,,
"Dashlet builder",,,
"Dashlet builder list",,,
"Dashlet builders",,,
"Data file",,,
"Date",,,
"Datetime",,,
"Day",,,
"Decimal",,,
"Default Value",,,
"Depends on",,,
"Description",,,
"Display",,,
"Display message",,,
"Display type",,,
"Domain",,,
"Donut",,,
"Draggable",,,
"Dummy",,,
"Edit Node",,,
"Edit Transition",,,
"Edit before send",,,
"Editable",,,
"Email",,,
"End node",,,
"Error in application build. Please check the log file",,,
"Error in server restart. No log file found",,,
"Event length",,,
"Event start",,,
"Event stop",,,
"Excel",,,
"Existing menu",,,
"Export",,,
"Export as real",,,
"Export file",,,
"Export module",,,
"Extra",,,
"Field",,,
"Field '%s' is not found on model %s",,,
"Field for 'My menu'",,,
"Fields",,,
"Filter",,,
"Filters",,,
"First group by",,,
"Free search",,,
"From",,,
"Funnel",,,
"Gauge",,,
"Generated Actions",,,
"Generated app",,,
"Generated module file",,,
"Groovy",,,
"Group By",,,
"Group date type",,,
"Group on type",,,
"Groups",,,
"Help",,,
"Hidden In Grid",,,
"Hidden menu",,,
"Horizontal bar",,,
"Icon",,,
"If",,,
"If-module",,,
"Image",,,
"Import",,,
"Import BPM",,,
"Import file",,,
"Import log",,,
"Incoming",,,
"Import module",,,
"Incomming",,,
"Input file not exist",,,
>>>>>>> RM#15572 Create separate fields for import, export and generated file
"Integer",,,
"Invalid zip entry: %s",,,
"Is json",,,
"Is parameter",,,
"Is wkf",,,
"Item",,,
"Items",,,
"Javascript",,,
"Json",,,
"Json Field",,,
"Json Many To Many",,,
"Json Many To One",,,
"Json One To Many",,,
"Json creator",,,
"Json field",,,
"Kanban builders",,,
"Left menu",,,
"Limit",,,
"Line",,,
"Link",,,
"Logic operator",,,
"Many To Many",,,
"Many To One",,,
"Max Size",,,
"Menu action",,,
"Menu builder",,,
"Menu builders",,,
"MenuBuilder.Order",,,
"Message",,,
"Message on alert or blocking",,,
"Message on success",,,
"Meta Model",,,
"Meta module",,,
"Meta view generated",,,
"MetaMenu",,,
"Min Size",,,
"Mobile menu",,,
"Mode",,,
"Model",,,
"Model '%s' is not found",,,
"Module",,,
"Module builder",,,
"Module builders",,,
"Module imported successfully, please restart server to install it",,,
"Month",,,
"Name",,,
"Name Column",,,
"Name Field",,,
"Name must not contains space",,,
"Nav Select",,,
"Nb of passes",,,
"Nb of passes per status",,,
"No module related views or model found",,,
"Node",,,
"Node type",,,
"Nodes",,,
"None",,,
"OR",,,
"Object",,,
"On Change",,,
"On Click",,,
"On New",,,
"On Save",,,
"On change",,,
"On load",,,
"On move",,,
"On new",,,
"One To Many",,,
"Only use this menu-item if the given expression is true.",,,
"Only use this menu-item if the given module is installed.",,,
"Open record",,,
"Open workflow",,,
"Operator",,,
"Outgoing",,,
"Overview",,,
"Pagination limit",,,
"Panel",,,
"Parent",,,
"Percentage(%)",,,
"Permissions",,,
"Pie Chart",,,
"Please add fields",,,
"Please correct the workflow diagram.",,,
"Please input value bind with single quotation.",,,
"Please provide unique code. The code '%s' is already used",,,
"Please set %s environment variable",,,
"Preview",,,
"Process display type",,,
"Process studio",,,
"Process tracking",,,
"Properties",,,
"Radar",,,
"ReadOnly for",,,
"Record Id",,,
"Record model",,,
"Record name",,,
"Regex",,,
"Report",,,
"Reporting",,,
"Required",,,
"Required If",,,
"Restart server",,,
"Restricted Roles",,,
"Roles",,,
"Scatter",,,
"Script",,,
"Script type",,,
"Second group by",,,
"Select Option",,,
"Selection",,,
"Selections",,,
"Send directly",,,
"Send option",,,
"Separator",,,
"Sequence",,,
"Sequence By",,,
"Show If",,,
"Show Title",,,
"Show process tracking",,,
"Simple Select",,,
"Source Field",,,
"Source directory not configured",,,
"Start node",,,
"Status",,,
"Status per day",,,
"Status per month",,,
"Status time(days)",,,
