"key","message","comment","context"
"$CUser:Current user<br/>$Today: today date<br/>$Now: current time",,,
"<b>Filename placeholders:</b><br/> <b>$TODAY$</b>: DDMMYYY, <b>$NOW$</b>:DDMMYYYHHmm",,,
"AND",,,
"Action Editor",,,
"Action editor",,,
"Action generated",,,
"Actions",,,
"Activate the hand tool",,,
"Add button to",,,
"Aggregate On",,,
"Aggregate date type",,,
"Alert",,,
"Alert or Blocking condition ?",,,
"App updated successfully",,,
"Append end node",,,
"Append intermediate node",,,
"Apply updates",,,
"Area",,,
"Arithmetic",,,
"Attributes",,,
"Bar",,,
"Begining",,,
"Blank selection for object: %s, field: %s, row: %s",,,
"Blocking",,,
"Boolean",,,
"Bpmn xml",,,
"Button",,,
"Button ?",,,
"Button title",,,
"Chart",,,
"Chart type",,,
"Charts",,,
"Clear wkf",,,
"Colspan",,,
"Comma separated list of params for the condition.",,,
"Condition",,,
"Condition params",,,
"Conditions",,,
"Configuration",,,
"Connect using transition",,,
"Create",,,
"Create end node",,,
"Create intermediate node",,,
"Create object",,,
"Create start node",,,
"Customised",,,
"Dashboard",,,
"Dashboards",,,
"Dashlet",,,
"Dashlet editor list",,,
"Dashlets",,,
"Date",,,
"DateTime",,,
"Day",,,
"Decimal",,,
"Default",,,
"Default Value",,,
"Delete menu",,,
"Dependency not imported. Please import all dependency templates first.",,,
"Depends on",,,
"Display",,,
"Display type",,,
"Domain",,,
"Domain filter as condition.",,,
"Doman",,,
"Donut",,,
"Duplicate fields for object: %s, field: %s, title: %s, row: %s",,,
"Duration ?",,,
"Edit HTML?",,,
"Edit Node",,,
"Edit Transition",,,
"Edited",,,
"Edited View",,,
"End",,,
"End node ?",,,
"Error",,,
"Error in application build. No build directory found",,,
"Error in application build. No war file generated.",,,
"Error in build. Please check the log",,,
"Error in export",,,
"Error in model recording. Please check the log",,,
"Error in object name of sheet: %s",,,
"Error in object name of sheet: %s, object: %s",,,
"Error in printing",,,
"Error in recording. Please check the log",,,
"Error in update, please check the log.",,,
"Export",,,
"Extends",,,
"Field",,,
"Field for 'My menu'",,,
"Field name must follow camel case pattern:",,,
"Field name must not contains space:",,,
"Field type",,,
"Field types",,,
"Fields",,,
