"name";"roles"
"app-builder-root";"BPM Manager|BPM User|BPM Read"
"app-builder-studio";"BPM Manager|BPM User|BPM Read"
"app-builder-reporting";"BPM Manager|BPM User|BPM Read"
"app-builder-chart-builders";"BPM Manager|BPM User|BPM Read"
"app-builder-dashboard-builders";"BPM Manager|BPM User|BPM Read"
"app-builder-config";"BPM Manager"
"app-builder-app-builders";"BPM Manager|BPM User|BPM Read"
"app-builder-custom-models";"BPM Manager|BPM User|BPM Read"
"app-builder-custom-fields";"BPM Manager|BPM User|BPM Read"
"app-builder-menu-builders";"BPM Manager|BPM User|BPM Read"
"app-builder-actions-builders";"BPM Manager|BPM User|BPM Read"
"app-builder-config-selections";"BPM Manager"
"app-builder-config-selection-builders";"BPM Manager"
"app-builder-config-actions";"BPM Manager"
"app-builder-config-mappers";"BPM Manager"
"app-builder-app-loaders";"BPM Manager|BPM User|BPM Read"
