"name";"object";"can_read";"can_write";"can_create";"can_remove";"can_export";"condition";"conditionParams";"roleName"
"perm.supplychain.SupplyChainConfig.r";"com.axelor.apps.supplychain.db.SupplyChainConfig";"x";;;;;;;"Supplychain Read"
"perm.supplychain.MrpLineType.r";"com.axelor.apps.supplychain.db.MrpLineType";"x";;;;;;;"Supplychain Read"
"perm.supplychain.SupplychainBatch.r";"com.axelor.apps.supplychain.db.SupplychainBatch";"x";;;;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Supplychain Read"
"perm.supplychain.Timetable.r";"com.axelor.apps.supplychain.db.Timetable";"x";;;;;;;"Supplychain Read"
"perm.supplychain.MrpForecast.r";"com.axelor.apps.supplychain.db.MrpForecast";"x";;;;;;;"Supplychain Read"
"perm.supplychain.Mrp.r";"com.axelor.apps.supplychain.db.Mrp";"x";;;;;;;"Supplychain Read"
"perm.supplychain.MrpFamily.r";"com.axelor.apps.supplychain.db.MrpFamily";"x";;;;;;;"Supplychain Read"
"perm.supplychain.MrpLine.r";"com.axelor.apps.supplychain.db.MrpLine";"x";;;;;;;"Supplychain Read"
"perm.supplychain.MrpLineOrigin.r";"com.axelor.apps.supplychain.db.MrpLineOrigin";"x";;;;;;;"Supplychain Read"
"perm.supplychain.CustomerShippingCarriagePaid.r";"com.axelor.apps.supplychain.db.CustomerShippingCarriagePaid";"x";;;;;;;"Supplychain Read"
"perm.supplychain.DeclarationOfExchanges.r";"com.axelor.apps.supplychain.db.DeclarationOfExchanges";"x";;;;;;;"Supplychain Read"
"perm.supplychain.PartnerSupplychainLink.r";"com.axelor.apps.supplychain.db.PartnerSupplychainLink";"x";;;;;;;"Supplychain Read"
"perm.supplychain.PartnerSupplychainLinkType.r";"com.axelor.apps.supplychain.db.PartnerSupplychainLinkType";"x";;;;;;;"Supplychain Read"
"perm.supplychain.StockMoveInvoicingBlockingReason.r";"com.axelor.apps.supplychain.db.StockMoveInvoicingBlockingReason";"x";;;;;;;"Supplychain Read"
"perm.supplychain.TimetableTemplate.r";"com.axelor.apps.supplychain.db.TimetableTemplate";"x";;;;;;;"Supplychain Read"
"perm.supplychain.TimetableTemplateLine.r";"com.axelor.apps.supplychain.db.TimetableTemplateLine";"x";;;;;;;"Supplychain Read"
"perm.supplychain.SupplyChainConfig.rwc";"com.axelor.apps.supplychain.db.SupplyChainConfig";"x";"x";"x";;;;;"Supplychain User"
"perm.supplychain.MrpLineType.rwc";"com.axelor.apps.supplychain.db.MrpLineType";"x";"x";"x";;;;;"Supplychain User"
"perm.supplychain.SupplychainBatch.rwc";"com.axelor.apps.supplychain.db.SupplychainBatch";"x";"x";"x";;;"self.company.id in (?)";"__user__.companySet.id.plus(0)";"Supplychain User"
"perm.supplychain.Timetable.rwc";"com.axelor.apps.supplychain.db.Timetable";"x";"x";"x";;;;;"Supplychain User"
"perm.supplychain.MrpForecast.rwc";"com.axelor.apps.supplychain.db.MrpForecast";"x";"x";"x";;;;;"Supplychain User"
"perm.supplychain.Mrp.rwc";"com.axelor.apps.supplychain.db.Mrp";"x";"x";"x";;;;;"Supplychain User"
"perm.supplychain.MrpFamily.rwc";"com.axelor.apps.supplychain.db.MrpFamily";"x";"x";"x";;;;;"Supplychain User"
"perm.supplychain.MrpLine.rwc";"com.axelor.apps.supplychain.db.MrpLine";"x";"x";"x";;;;;"Supplychain User"
