"key","message","comment","context"
"${fullName} plan. st. move","План. Ст. Шаг вперед.",,
"${product.fullName} plan. st. move",,,
"${product.fullName} real st. move",,,
"${product.fullName} reserved",,,
"%","%",,
"%d order invoiced successfully,","%d заказ успешно выставлен,",,
"%d orders invoiced successfully,","%d заказов успешно выставлены,",,
"%d outgoing stock move processed successfully,","Процент успешного перемещения исходящих запасов.",,
"%d outgoing stock moves processed successfully,","Процент успешного перемещения исходящих запасов обрабатывается успешно.",,
"%s please configure a virtual supplier stock location for the company %s","%s Пожалуйста, настройте виртуальное местоположение склада поставщика для компании %s",,
"%s purchase order",,,
"%s requested reserved",,,
"%s sale order",,,
"%s stock location",,,
"A supplier partner must be selected","Должен быть выбран поставщик-партнер",,
"A.T.I.","А.Т.И.",,
"Accepted Credit","Принятый кредит",,
"Accounting Family Dashboard",,,
"Accounting Family sale turnover (Excl. Tax) per month",,,
"Accounting cut off generation report :","Бухгалтерский отчет о генерации отключений :",,
"Accounting cut-off","Бухгалтерское отключение",,
"Accounting cut-off configuration","Конфигурация отключения бухучета",,
"Action","Действие",,
"Actions","Действия",,
"All invoices have been generated for this sale order.",,,
"Allocated Qty","Распределенный квартал",,
"Allocated qty","Распределенные qty",,
"Allow Subscriptions for Sale orders","Разрешить подписку на заказы на продажу",,
"Allow complete manually sale order","Разрешить полный ручной заказ на продажу",,
"Allow finish manually purchase order","Разрешить завершение заказа вручную",,
"Allow timetable invoicing","Разрешить выставление счетов по расписанию",,
"Amount","Сумма",,
"Amount cannot be superior to the order's total excluding taxes",,,
"Amount invoiced W.T.","Сумма, указанная в счете W.T.",,
"Amount remaining to use","Оставшаяся сумма для использования",,
"Amount to invoice","Сумма счета-фактуры",,
"An active stock move (%s) already exists for the sale order %s.","Активное движение запасов (%s) уже существует для заказа на продажу %s.",,
"An invoice not canceled already exists for the incoming stock move %s","Счет, который не аннулирован, уже существует для движения входящих запасов в %s.",,
"An invoice not canceled already exists for the outgoing stock move %s","Счет-фактура, не аннулированная, уже существует для движения исходящих запасов в %s.",,
"Analytic distribution lines","Аналитические распределительные линии",,
"Analytic distribution template","Шаблон аналитического распределения",,
"Analytic move lines","Аналитические линии перемещения",,
"App Supplychain","Применить цепь поставок",,
"Archived","Архивированный",,
"Are you sure you want generate all proposals ?","Вы уверены, что хотите генерировать все предложения?",,
"Are you sure you want run the calculation ? Calculation can take a long time.","Ты уверен, что хочешь провести расчеты? Расчет может занять много времени.",,
