"key","message","comment","context"
"+10 years","+10 Jahre",,
"0 %",,,
"0-2 years","0-2 Jahre",,
"10 %",,,
"100 %",,,
"2-5 years","2-5 Jahre",,
"20 %",,,
"30 %",,,
"40 %",,,
"5-10 years","5-10 Jahre",,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />","<a class='fa fa-linkedin' href='http://www.linkedin.com' target='_blank' />",,
"A new employee form will be created. Do you confirm the creation ?","Es wird ein neues Mitarbeiterformular erstellt. Bestätigen Sie die Erstellung?",,
"Accept/plan","Akzeptieren/Planen",,
"Address","Adresse",,
"All Applications","Alle Anwendungen",,
"All applications","Alle Anwendungen",,
"All open Applications","Alle offenen Anwendungen",,
"All trainings","Alle Schulungen",,
"Application Information","Anwendungsinformationen",,
"Applied job","Angewandter Job",,
"Appraisal","Bewertung",,
"Appraisal cancelled","Beurteilung abgebrochen",,
"Appraisal draft","Entwurf des Gutachtens",,
"Appraisal filters","Beurteilungsfilter",,
"Appraisal realized","Bewertung durchgeführt",,
"Appraisal sent","Beurteilung gesendet",,
"Appraisal template","Beurteilungsformular",,
"Appraisal templates","Beurteilungsvorlagen",,
"Appraisal type","Beurteilungsart",,
"Appraisal types","Beurteilungsarten",,
"Appraisals","Gutachten",,
"Appreciation","Wertschätzung",,
"Availability from","Verfügbarkeit ab",,
"Business sectors","Unternehmensbereiche",,
"Cadre","Kader",,
"Cancel","Abbrechen",,
"Canceled","Abgesagt",,
"Cancelled","Storniert",,
"Categories","Kategorien",,
"Category","Kategorie",,
"Close",,,
"Close session","Sitzung schließen",,
"Closed","Geschlossen",,
"Code","Code",,
"Company","Unternehmen",,
"Completed","Abgeschlossen",,
"Completed trainings of all employees of a team","Abgeschlossene Schulungen aller Mitarbeiter eines Teams",,
"Configuration","Konfiguration",,
"Contact","Kontakt",,
"Contact details","Kontaktdaten",,
"Contract","Vertrag",,
"Contract type","Vertragsart",,
"Create","Erstellen",,
"Create Appraisal(Select Employees)","Beurteilung anlegen (Mitarbeiter auswählen)",,
"Create Appraisals","Beurteilungen anlegen",,
"Create Appraisals(Select Employees)","Beurteilungen erstellen (Mitarbeiter auswählen)",,
"Create a job application","Erstellen einer Bewerbung",,
"Dashboard","Dashboard",,
"Date of application","Datum der Anwendung",,
"Deadline","Deadline",,
"Department","Abteilung",,
"Description","Beschreibung",,
"Draft","Entwurf",,
"Education level","Bildungsniveau",,
"Email","E-Mail",,
"Employee","Mitarbeiter",,
"Employee hired","Angestellter eingestellt",,
"Employee registred","Registrierter Mitarbeiter",,
"Employees","Mitarbeiter",,
"Events","Events",,
"Expected salary","Gehaltsvorstellung",,
"Experience","Erfahrung",,
"Experience skills","Erleben Sie Fähigkeiten",,
"Fax","Fax",,
"First name","Vorname",,
"Fixed phone","Festnetztelefon",,
"From","Von",,
"From date","Von-Datum",,
"Full name","Vollständiger Name",,
"Hire","Mieten",,
"Hired","Angeheuert",,
"Hiring Stage","Einstellungsphase",,
"Hiring stage","Einstellungsphase",,
"Historic job positions","Historische Stellenangebote",,
"Invalid dates. From date must be before to date.","Ungültige Daten. Das Von-Datum muss vor dem Datum liegen.",,
"Is template","Ist Vorlage",,
"Job Application","Stellenbewerbung",,
"Job Offer Information","Informationen zum Stellenangebot",,
"Job application","Stellenbewerbung",,
"Job applications","Stellenbewerbungen",,
"Job description","Stellenbeschreibung",,
"Job email","Job-E-Mail",,
"Job position","Stellenangebot",,
"Job positions","Stellenangebote",,
"Job reference","Arbeitszeugnis",,
