"key","message","comment","context"
"Action",,,
"Actions",,,
"All reached",,,
"Assigned to",,,
"Bills of materials",,,
"CMMS",,,
"Cancel",,,
"Canceled",,,
"Complete",,,
"Completed",,,
"Configuration",,,
"Confirm",,,
"Corrective",,,
"Create maintenance request",,,
"Current requests",,,
"Cycles",,,
"Days",,,
"Done on",,,
"Duration (Hours)",,,
"Equipement Maintenance",,,
"Equipement Maintenances",,,
"Equipement maintenance",,,
"Expected date",,,
"First reached",,,
"Generate request each",,,
"Hours of production",,,
"In progress",,,
"Machine",,,
"Machines",,,
"Machines unavailable",,,
"Maintenance Category",,,
"Maintenance File",,,
"Maintenance Procedure",,,
"Maintenance Request",,,
"Maintenance Requests",,,
"Maintenance comments",,,
"Maintenance periods",,,
"Maintenance task",,,
"Manufacturing Order",,,
"Manufacturing orders",,,
"My Maintenance requests",,,
"Name",,,
"Next maintenance date",,,
"Preventive",,,
"Production processes",,,
"Replan",,,
"Request By",,,
"Request calendar",,,
"Request date",,,
"Request history",,,
"State",,,
"equipement.maintenance.code","Code",,
"equipement.maintenance.image","Image",,
"equipement.maintenance.name","Name",,
"maintenance.request.planned","Planned",,
