"importId";"name_fr";"code_fr";"name_en";"code_en"
1;"Publicité";"PUB";"Advertisemt";"ADV"
2;"Employé";"EMP";"Employee";"EMP"
3;"Partenaire";"PAR";"Partenaire";"PAR"
4;"Rel. publiques";"RPU";"Public rel.";"PUR"
5;"Séminaire";"SEM";"Seminar";"SEM"
6;"Salon";"SAL";"Trade show";"TSH"
7;"Website";"WEB";"Web";"WEB"
8;"Forum en ligne";"FOR";"Web Forum";"FOR"
9;"B. à oreille";"BAO";"Word of Mth.";"WOM"
10;"Prosp. Tél.";"PTL";"Cold Call";"CCL"
11;"Emailing";"EML";"Direct Mail";"DML"
12;"Client existant";"CLT";"Existing Cust.";"CLT"
13;"Auto-Généré";"AGN";"Self-Gen.";"SLF"
14;"Autres";"AUT";"Others";"OTH"
