"importId";"typeSelect";"subject";"statusSelect";"startDateTime";"endDateTime";"durationHours";"durationMinutesSelect";"eventCategory";"prioritySelect";"relatedToSelect";"relatedToSelectId";"description";"userInfo.importId";"team.importId";"clientPartner.importId";"contactPartner.importId";"lead.importId";"callStatusSelect";"meetingType.importId";"location";"taskStatusSelect";"ticketNumberSeq";"ticketStatusSelect";"Project.importId";"task.importId"
1;1;"Appeler 123 Services";1;"5/10/2013 10:00";"5/10/2013 11:00";1;0;;;;;;14;1;88;89;;2;;;;;;;
2;1;"Appeler APOLLO";1;"6/10/2013 10:00";"6/10/2013 11:00";1;0;;;;;;15;2;20;21;;2;;;;;;;
3;1;"Appeler BLUEBERRY TELECOM";1;"7/10/2013 10:00";"7/10/2013 11:00";1;0;;;;;;16;2;44;45;;2;;;;;;;
4;1;"Appeler MASSON Logistics";1;"8/10/2013 10:00";"8/10/2013 11:00";1;0;;;;;;16;2;70;71;;2;;;;;;;
5;1;"Appeler GERARD Solutions";1;"9/10/2013 10:00";"9/10/2013 11:00";1;0;;;;;;15;2;77;78;;2;;;;;;;
6;1;"Appeler 123 Services";1;"10/10/2013 10:00";"10/10/2013 11:00";1;0;;;;;;14;1;88;90;;2;;;;;;;
7;1;"Appeler BOURGEOIS INDUSTRIE";1;"11/10/2013 10:00";"11/10/2013 11:00";1;0;;;;;;17;3;132;133;;2;;;;;;;
8;1;"Appeler Banque GUILLOT";1;"12/10/2013 10:00";"12/10/2013 11:00";1;0;;;;;;17;3;136;137;;2;;;;;;;
9;1;"Appeler 123 Services";1;"13/10/2013 10:00";"13/10/2013 11:00";1;0;;;;;;14;1;88;89;;2;;;;;;;
10;2;"Rev. Offre 123 Services";1;"5/10/2013 14:00";"5/10/2013 16:00";2;0;;;"com.axelor.apps.supplychain.db.SalesOrder";1;;14;1;88;89;;;1;"Salle A. Einstein";;;;;
11;2;"Rev. Offre APOLLO";1;"6/10/2013 14:00";"6/10/2013 16:00";2;0;;;"com.axelor.apps.supplychain.db.SalesOrder";2;;14;1;20;21;;;1;"Salle A. Einstein";;;;;
12;2;"Rev. Offre BLUEBERRY TELECOM";1;"7/10/2013 14:00";"7/10/2013 16:00";2;0;;;"com.axelor.apps.supplychain.db.SalesOrder";3;;15;2;44;45;;;1;"Salle A. Einstein";;;;;
13;2;"Rev. Offre MASSON Logistics";1;"8/10/2013 14:00";"8/10/2013 16:00";2;0;;;"com.axelor.apps.supplychain.db.SalesOrder";4;;16;2;70;71;;;1;"Salle A. Einstein";;;;;
14;2;"Rev. Offre GERARD Solutions";1;"9/10/2013 14:00";"9/10/2013 16:00";2;0;;;"com.axelor.apps.supplychain.db.SalesOrder";5;;16;2;77;78;;;1;"Salle A. Einstein";;;;;
15;2;"Rev. Offre 123 Services";1;"10/10/2013 14:00";"10/10/2013 16:00";2;0;;;"com.axelor.apps.supplychain.db.SalesOrder";6;;15;2;88;90;;;1;"Salle A. Einstein";;;;;
16;2;"Rdv 123 Services";1;"11/10/2013 14:00";"11/10/2013 16:00";2;0;;;"com.axelor.apps.supplychain.db.SalesOrder";7;;14;1;88;89;;;3;"LILLE";;;;;
17;2;"Rdv DE KIMPE Engineering";1;"12/10/2013 14:00";"12/10/2013 16:00";2;0;;;"com.axelor.apps.supplychain.db.SalesOrder";8;;17;3;185;186;;;3;"BRUXELLES";;;;;
18;2;"Rdv 123 Services";1;"13/10/2013 14:00";"13/10/2013 16:00";2;0;;;;;;14;1;;;1;;3;"LILLE";;;;;
19;2;"Rdv APP Solutions";1;"14/10/2013 14:00";"14/10/2013 16:00";2;0;;;;;;15;2;;;2;;3;"NICE";;;;;
20;2;"Rdv G&Q International";1;"15/10/2013 14:00";"15/10/2013 16:00";2;0;;;;;;15;2;;;3;;3;"TOULOUSE";;;;;
21;2;"Rdv GORDON Solutions";1;"16/10/2013 14:00";"16/10/2013 16:00";2;0;;;;;;15;2;;;4;;3;"BORDEAUX";;;;;
22;2;"Rdv KGM Media";1;"17/10/2013 14:00";"17/10/2013 16:00";2;0;;;;;;13;1;;;5;;3;"LILLE";;;;;
23;2;"Rdv YEU Solutions";1;"18/10/2013 14:00";"18/10/2013 16:00";2;0;;;;;;16;2;;;6;;3;"LYON";;;;;
24;2;"Rdv A&U Webcast";1;"19/10/2013 14:00";"19/10/2013 16:00";2;0;;;;;;16;2;;;7;;3;"TOULOUSE";;;;;
25;2;"Rdv BT Tech";1;"20/10/2013 14:00";"20/10/2013 16:00";2;0;;;;;;16;2;;;8;;3;"CLERMONT-FERRAND";;;;;
26;2;"Rdv B&X Web";1;"21/10/2013 14:00";"21/10/2013 16:00";2;0;;;;;;15;2;;;9;;3;"CLERMONT-FERRAND";;;;;
27;2;"Rdv WIX Solutions";1;"22/10/2013 14:00";"22/10/2013 16:00";2;0;;;;;;17;3;;;10;;3;"MELUN";;;;;
28;2;"Rdv Q&L Solutions";1;"23/10/2013 14:00";"23/10/2013 16:00";2;0;;;;;;14;1;;;11;;3;"STRASBOURG";;;;;
