importId;candidate.id;employee.importId;dob;citizenshipCountry.code;clearanceSelect;maritalStatusSelect;childrenNbr;spouseProfession;mobilitySet
1;1;;1979-02-14;USA;0;0;0;;
2;2;;1982-07-18;GBR;0;0;0;;
3;3;;1977-05-27;USA;0;1;2;;
4;4;;1978-07-27;GBR;0;1;1;;
5;5;;1977-06-25;USA;0;1;2;;
6;6;;1981-05-14;GBR;0;1;1;;
7;7;;1990-09-22;USA;0;0;0;;
8;8;;1981-08-10;GBR;0;0;0;;
9;9;;1984-08-15;USA;0;0;0;;
10;10;;1978-05-29;GBR;0;1;2;;
11;11;;1976-05-15;USA;0;1;2;;
12;12;;1979-05-21;GBR;0;0;0;;
13;13;;1979-04-25;USA;0;1;1;;
14;14;;1975-02-26;GBR;0;0;0;;
15;15;;1981-06-29;USA;0;1;2;;
16;16;;1990-05-25;GBR;0;1;2;;
17;17;;1976-04-22;FRA;0;1;1;;
18;18;;1988-08-22;FRA;0;0;0;;
19;19;;1990-01-14;FRA;0;1;2;;
20;20;;1975-07-28;FRA;0;1;1;;
21;21;;1986-07-22;FRA;0;1;1;;
22;22;;1978-05-22;FRA;0;0;0;;
23;23;;1990-03-26;FRA;0;0;0;;
24;24;;1991-08-18;FRA;0;1;1;;
25;25;;1989-02-17;FRA;0;0;0;;
26;26;;1980-02-28;FRA;0;0;0;;
27;27;;1986-07-19;FRA;0;0;0;;
28;28;;1988-08-14;FRA;0;0;0;;
29;90001;1;1988-08-17;FRA;0;0;0;Consultant;
30;90002;2;1990-06-13;FRA;0;1;0;;
31;90003;3;1983-06-29;FRA;0;0;0;;
32;90004;4;1986-09-14;FRA;0;1;1;;
33;90005;5;1978-09-20;FRA;0;1;1;;
34;90006;6;1984-09-10;FRA;0;1;2;;
35;90007;7;1989-08-15;FRA;0;1;0;;
36;90008;8;1984-05-18;FRA;0;1;2;;
37;90009;9;1984-01-28;FRA;0;1;1;;
38;90010;10;1984-01-13;FRA;0;0;0;;
39;90011;11;1989-08-14;FRA;0;0;0;;
40;90012;12;1980-07-16;FRA;0;0;0;;
41;90013;13;1981-06-28;FRA;0;1;1;;
42;90014;14;1984-07-25;FRA;0;1;2;;
43;90015;15;1990-05-19;FRA;0;0;0;;
44;90016;16;1989-07-19;FRA;0;0;0;;
45;90017;17;1985-06-18;FRA;0;0;0;;
46;90018;18;1979-09-23;FRA;0;0;0;;
47;90019;19;1987-02-28;FRA;0;0;0;;
48;90020;20;1978-03-22;FRA;0;0;0;;
49;90021;21;1978-04-21;FRA;0;1;1;;
50;90022;22;1991-06-25;FRA;0;0;0;;
51;90023;23;1979-01-11;FRA;0;0;0;;
52;90024;24;1976-04-13;FRA;0;1;1;;
