"importID";"code_fr_FR";"name_fr_FR";"code_fr_EN";"name_en_EN";"parentProductCategory";"productTypeSelect";"procurementMethodSelect";"isRawMaterial"
1;"VEL";"Vélos";"BIKE";"Bikes";;"stockable";"buy";"false"
2;"RTE";"Route";"ORD";"Road";1;"stockable";"buy";"false"
3;"CHE";"Chemin";"XRD";"X-Road";1;"stockable";"buy";"false"
4;"TT";"Tout terrain";"OFRD";"Off-Road";1;"stockable";"buy";"false"
5;"FEM";"Femmes";"WOM";"Women";1;"stockable";"buy";"false"
6;"ENF";"Enfants";"YTH";"Youth";1;"stockable";"buy";"false"
7;"SM";"Sur Mesure";"CS";"Custom made";1;"stockable";"produce";"false"
8;"PCED";"Pièces détachées";"GEAR";"Gear";;"stockable";"buy";"false"
9;"TXTEQ";"Textile & Equipmt";"TXTEQ";"Textile & Equipmt";;"stockable ";"buy";"false"
10;"TXTH";"Textile homme";"TXTM";"Textile man";8;"stockable";"buy";"false"
11;"EQH";"Equipement homme";"EQM";"Equipment man";8;"stockable";"buy";"false"
12;"TXTF";"Textile femme";"TXTF";"Textile woman";8;"stockable";"buy";"false"
13;"EQF";"Equipement femme";"EQW";"Equipment woman";8;"stockable";"buy";"false"
14;"TXTE";"Textile enfant";"TXTC";"Textile child";8;"stockable";"buy";"false"
15;"EQE";"Equipement enfant";"EQC";"Equipment child";8;"stockable";"buy";"false"
16;"SERV";"Service";"SERV";"Service";;"service";"produce";"false"
17;"AUTRES";"Equipement atelier";"AUTRES";"Workshop Equipment";;"stockable";"buy";"true"
