"importID";"productCategory.importId";"name_fr_FR";"code_fr_FR";"name_en_EN";"code_en_EN"
1;1;"Professionnel";"PRO";"Professionnal";"PRO"
2;1;"Compétition amateur";"AMA";"Rookie";"ROK"
3;1;"Performance";"PERF";"Performance";"PERF"
4;1;"Loisir";"LOIS";"Leisure";"LEIS"
5;2;"Professionnel";"PRO";"Professionnal";"PRO"
6;2;"Compétition amateur";"AMA";"Rookie";"ROK"
7;2;"Performance";"PERF";"Performance";"PERF"
8;2;"Loisir";"LOIS";"Leisure";"LEIS"
9;3;"Professionnel";"PRO";"Professionnal";"PRO"
10;3;"Compétition amateur";"AMA";"Rookie";"ROK"
11;3;"Performance";"PERF";"Performance";"PERF"
12;3;"Loisir";"LOIS";"Leisure";"LEIS"
13;4;"Professionnel";"PRO";"Professionnal";"PRO"
14;4;"Compétition amateur";"AMA";"Rookie";"ROK"
15;4;"Performance";"PERF";"Performance";"PERF"
16;4;"Loisir";"LOIS";"Leisure";"LEIS"
17;5;"Professionnel";"PRO";"Professionnal";"PRO"
18;5;"Compétition amateur";"AMA";"Rookie";"ROK"
19;5;"Performance";"PERF";"Performance";"PERF"
20;5;"Loisir";"LOIS";"Leisure";"LEIS"
21;6;"Compétition";"AMA";"Competition";"ROK"
22;6;"Performance";"PERF";"Performance";"PERF"
23;6;"Loisir";"LOIS";"Leisure";"LEIS"
24;9;"Cadre";"CDR";"Frame";"FRM"
25;9;"Fourche";"FRC";"Fork";"FRK"
26;9;"Cintre";"CTR";"Shock";"SHK"
27;9;"Potence";"POT";"Handlebar";"HBAR"
28;9;"Tige de selle";"TDS";"Saddle";"SADL"
29;9;"Selle";"SEL";"Pedals";"PEDL"
30;9;"Manettes";"MAN";"Shifters";"SHFT"
31;9;"Dérailleur avant";"DAV";"Front Derailleur";"FTDER"
32;9;"Dérailleur arrière";"DAR";"Rear Derailleur";"RRDER"
33;9;"Freins";"FRE";"Brakes";"BRK"
34;9;"Leviers de frein";"LFR";"Brake Levers";"BRKLV"
35;9;"Cassette";"CAS";"Cassette";"CAS"
36;9;"Chaîne";"CHA";"Chain";"CHN"
37;9;"Pédalier";"PED";"Crankset";"CRKST"
38;9;"Boîtier de pédalier";"BPED";"Bottom Bracket";"BTBRK"
39;9;"Jantes";"JTE";"Rims";"RIM"
40;9;"Moyeux";"MOY";"Hubs";"HUB"
41;9;"Rayons";"RAY";"Spokes";"SPOK"
42;9;"Pneus";"PNE";"Tires";"TIRE"
43;10;"Entretien";"ENT";"Maintenance";"MNTCE"
44;10;"Location";"LOC";"Rental";"RENT"
