"inventory.id";"product.importId";"currentQty";"realQty";"description";"productVariant.importId";"trackingNumber.importId"
1;3;"0.00";"25.00";;;
1;4;"0.00";"25.00";;;
1;5;"0.00";"40.00";;;
1;6;"0.00";"20.00";;;
1;7;"0.00";"10.00";;;
1;8;"0.00";"5.00";;;
1;9;"0.00";"8.00";;;
1;10;"0.00";"7.00";;;
1;11;"0.00";"30.00";;;
1;12;"0.00";"26.00";;;
1;13;"0.00";"19.00";;;
1;14;"0.00";"13.00";;;
1;15;"0.00";"9.00";;;
1;16;"0.00";"60.00";;;
1;17;"0.00";"40.00";;;
1;18;"0.00";"19.00";;;
1;19;"0.00";"7.00";;;
1;20;"0.00";"10.00";;;
1;21;"0.00";"20.00";;;
