"code";"name";"nextNum";"padding";"prefixe";"suffixe";"toBeAdded";"yearlyResetOk";"company.importId";"journal.importId"
"accountClearance";"Apurement des trop-perçus";1;10;"APURMT_%Y_";;1;1;1;
"chequeReject";"Rejet chèques";1;10;"REJCHQ_%Y_";;1;1;1;
"customerInvoice";"Facture de vente";1;7;"FC_%Y";;1;1;1;
"customerRefund";"Avoir client";1;7;"AC_%Y";;1;1;1;
"supplierInvoice";"Facture d'achat";1;7;"FF_%Y";;1;1;1;
"supplierRefund";"Avoir fournisseur";1;7;"AVF_%Y";;1;1;1;
"debit";"Prélèvement (facture et echeanciers hors mensu)";1;7;"PREFAC_%Y_";;1;1;1;12
"debitReject";"Rejet des prélèvements";1;7;"REJPRL_%Y_";;1;1;1;25
"doubtfulCustomer";"Passage en créance douteuse";1;7;"CREDOU_%Y_";;1;1;1;
"irrecoverable";"Passage en irrécouvrable";1;7;"IRRECOUV_%Y_";;1;1;1;
"move";"Ecriture Vente";1;7;"ECRVTE_%Y_";;1;1;1;1
"move";"Ecriture avoir";1;10;"ECRAV_%Y_";;1;1;1;2
"move";"Ecriture Achat";1;7;"ECRACH_%Y_";;1;1;1;3
"move";"Ecriture avoir fournisseur";1;10;"ECRAVF_%Y_";;1;1;1;4
"move";"Ecriture Factice";1;7;"ECR_VIRT_%Y_";;1;1;1;27
"move";"Ecriture paiement en especes";1;7;"ECRESP_%Y_";;1;1;1;5
"move";"Ecriture paiement client par cheque";1;10;"ECRCHQ_%Y_";;1;1;1;6
"move";"Ecriture paiement client par CB";1;10;"ECRCB_%Y_";;1;1;1;7
"move";"Ecriture paiement client par internet";1;10;"ECRWEB_%Y_";;1;1;1;8
"move";"Ecriture paiement client par TIP";1;10;"ECRTIP_%Y_";;1;1;1;9
"move";"Ecriture paiement client par TIP+Cheque";1;10;"ECRTEC_%Y_";;1;1;1;10
"move";"Ecriture paiement client par virement";1;10;"ECRVIR_%Y_";;1;1;1;11
"move";"Ecriture paiement client par prélèvement  (factures et échéanciers hors mensu)";1;10;"ECRPRE_%Y_";;1;1;1;12
"move";"Ecriture paiement client par autres moyens";1;10;"ECROTH_%Y_";;1;1;1;13
"move";"Ecriture paiement client rejet d'opération bancaire";1;10;"ECRREJ_%Y_";;1;1;1;25
"move";"Ecriture de remboursement automatique";1;10;"ECRRBTCLT_%Y_";;1;1;1;14
"move";"Ecriture règlement fournisseur en especes";1;7;"ECRESP_%Y_";;1;1;1;15
"move";"Ecriture règlement fournisseur par cheque";1;10;"ECRCHQ_%Y_";;1;1;1;16
"move";"Ecriture règlement fournisseur par CB";1;10;"ECRCB_%Y_";;1;1;1;17
"move";"Ecriture règlement fournisseur par TIP";1;10;"ECRTIP_%Y_";;1;1;1;18
"move";"Ecriture règlement fournisseur par virement";1;10;"ECRVIR_%Y_";;1;1;1;19
"move";"Ecriture règlement fournisseur par prélèvement  (factures et échéanciers hors mensu)";1;10;"ECRPRE_%Y_";;1;1;1;20
"move";"Ecriture règlement fournisseur par autres moyens";1;10;"ECROTH_%Y_";;1;1;1;21
"move";"Ecriture d'OD automatique";1;10;"ECRODAUTO_%Y_";;1;1;1;23
"move";"Ecriture d'OD manuelle";1;10;"ECRODMANU_%Y_";;1;1;1;24
"move";"Ecriture d'apurements";1;10;"ECRAPUR_%Y_";;1;1;1;22
"move";"Ecriture passage en irrécouvrable";1;10;"ECRIRREC_%Y_";;1;1;1;28
"moveLineExport";"Export comptable";1;10;"EXPCPT_%Y_";;1;1;1;
"moveLineReport";"Reporting comptable";1;10;"REPORTDF_%Y_";;1;1;1;
"paymentSchedule";"N° écheancier";1;10;"ECHPAI_%Y_";;1;1;1;
"paymentVoucher";"N° de paiement enc. espèces ";1;10;"ENC_ESP_%Y_";;1;1;1;5
"paymentVoucher";"N° de paiement enc. chèques ";1;10;"ENC_CHQ_%Y_";;1;1;1;6
"paymentVoucher";"N° de paiement enc. CB ";1;10;"ENC_CB_%Y_";;1;1;1;7
