"importId";"typeSelect";"subject";"statusSelect";"startDateTime";"endDateTime";"duration";"eventCategory.importId";"prioritySelect";"relatedToSelect";"relatedToSelectId";"description";"userInfo.importId";"team.importId";"clientPartner.importId";"contactPartner.importId";"lead.importId";"callStatusSelect";"meetingType.importId";"location";"taskStatusSelect";"ticketNumberSeq";"ticketStatusSelect";"progressSelect";"responsibleUserInfo.importId";"project.importId";"task.importId"
1;1;"Appeler 123 Services";2;"NOW[-5M09H00m]";"NOW[-5M09H30m]";1800;;;;;;9;1;88;89;;2;;;;;;;;;
2;1;"Appeler APOLLO";2;"NOW[-4M09H00m]";"NOW[-4M09H45m]";2700;;;;;;11;2;20;21;;2;;;;;;;;;
3;1;"Appeler BLUEBERRY TELECOM";2;"NOW[-3M09H15m]";"NOW[-3M09H45m]";1800;;;;;;12;2;44;45;;2;;;;;;;;;
4;1;"Appeler MASSON Logistics";2;"NOW[-2M09H00m]";"NOW[-2M09H45m]";2700;;;;;;12;2;70;71;;2;;;;;;;;;
5;1;"Appeler GERARD Solutions";2;"NOW[-1M09H00m]";"NOW[-1M10H00m]";3600;;;;;;11;2;77;78;;2;;;;;;;;;
6;1;"Appeler 123 Services";2;"NOW[-21d09H00m]";"NOW[-21d09H50m]";3000;;;;;;9;1;88;90;;2;;;;;;;;;
7;1;"Appeler BOURGEOIS INDUSTRIE";2;"NOW[-14d11H00m]";"NOW[-14d12H00m]";3600;;;;;;13;3;132;133;;2;;;;;;;;;
8;1;"Appeler Banque GUILLOT";2;"NOW[-7d11H00m]";"NOW[-7d11H30m]";1800;;;;;;13;3;136;137;;2;;;;;;;;;
9;1;"Appeler 123 Services";1;"NOW[11H00m]";"NOW[11H45m]";2700;;;;;;9;1;88;89;;2;;;;;;;;;
10;2;"Rev. Offre 123 Services";2;"NOW[-5M14H00m]";"NOW[-5M16H00m]";7200;;;"com.axelor.apps.supplychain.db.SalesOrder";1;;9;1;88;89;;;1;"Salle A. Einstein";;;;;;;
11;2;"Rev. Offre APOLLO";2;"NOW[-4M14H00m]";"NOW[-4M17H00m]";10800;;;"com.axelor.apps.supplychain.db.SalesOrder";2;;9;1;20;21;;;1;"Salle A. Einstein";;;;;;;
