"importId";"salesOrder.importId";"sequence";"product.importId";"productName";"qty";"unit.importId";"price";"taxLine.id";"exTaxTotal";"hasToCreateTask";"isOrdered";"saleSupplySelect"
1;1;1;111;"Serveur haute performance";10;1;2500;11;"25000";"true";"true";1
2;1;2;121;"Imprimante Laser";6;1;429;11;"2574";"true";"true";1
3;2;1;110;"Serveur classique";18;1;1500;11;"27000";"true";"true";1
4;2;2;120;"Imprimante Jet d'encre";2;1;329;11;"658";"true";"true";1
5;3;1;120;"Imprimante Jet d'encre";14;1;329;11;"4606";"true";"true";1
6;3;2;110;"Serveur classique";1;1;1500;11;"1500";"true";"true";1
7;4;1;121;"Imprimante Laser";8;1;429;11;"3432";"true";"true";1
8;4;2;111;"Serveur haute performance";5;1;2500;11;"12500";"true";"true";1
9;5;1;111;"Serveur haute performance";10;1;2500;11;"25000";"true";"true";1
10;5;2;110;"Serveur classique";4;1;1500;11;"6000";"true";"true";1
11;5;3;121;"Imprimante Laser";10;1;429;11;"4290";"true";"true";1
12;5;4;303;"Cartouche encre laser";12;1;"84.5";11;"1014";"true";"true";1
13;5;5;304;"Ramette 500 Feuilles A4 Standard 80 g";20;1;"6.99";11;"139.8";"true";"true";1
14;6;1;411;"Consultant";15;103;800;11;"12000";"true";"true";3
15;7;1;111;"Serveur haute performance";3;1;2500;15;"7500";"true";"true";1
16;7;2;110;"Serveur classique";3;1;1500;15;"4500";"true";"true";1
17;7;3;400;"Etude";1;1;8000;15;"8000";"true";"true";3
18;8;1;410;"Chef de projet";10;103;1000;11;"10000";"true";"true";3
19;8;2;111;"Serveur haute performance";2;1;2500;11;"5000";"true";"true";1
20;8;3;110;"Serveur classique";1;1;1500;11;"1500";"true";"true";1
21;8;4;121;"Imprimante Laser";4;1;429;11;"1716";"true";"true";1
22;8;5;2;"Maintenance annuelle";1;106;2000;11;"2000";"true";"true";1
23;9;1;400;"Etude";1;1;8000;11;"8000";"true";"true";3
24;9;2;410;"Chef de projet";20;103;1000;11;"20000";"true";"true";3
25;10;1;120;"Imprimante Jet d'encre";1;1;329;11;"329";"true";"true";1
26;10;2;302;"Cartouche jet d'encre";4;103;"32.9";11;"131.6";"true";"true";1
27;11;1;120;"Imprimante Jet d'encre";5;103;329;5;"1645";"true";"true";1
28;11;2;302;"Cartouche jet d'encre";15;103;"32.9";5;"493.5";"true";"true";1
29;11;3;121;"Imprimante Laser";3;103;429;5;"1287";"true";"true";1
30;11;4;303;"Cartouche encre laser";6;103;"84.5";5;"507";"true";"true";1
