"importId";"code_fr_FR";"code_en_EN";"name"
1;"U";"U";"Unit"
2;"PCE";"PCE";"Piece"
3;"%";"%";"Percent"
4;"MIN";"MIN";"Minute"
5;"HRE";"HOUR";"Hour"
6;"1/2-JR";"1/2-DAY";"Half-Day"
7;"JR";"DAY";"Day"
8;"SEM";"WEEK";"Week"
9;"MOIS";"MTH";"Month"
10;"ANNEE";"YR";"Year"
11;"BTE2";"BOX2";"Box of 2 Pces"
12;"BTE6";"BOX6";"Box of 6 Pces"
13;"BTE12";"BOX12";"Box of 12 Pces"
14;"BTE24";"BOX24";"Box of 24 Pces"
15;"BTE50";"BOX50";"Box of 50 Pces"
16;"BTE100";"BOX100";"Box of 100 Pces"
17;"BTE500";"BOX500";"Box of 500 Pces"
18;"BTE1000";"BOX1000";"Box of 1000 Pces"
