"name";"date";"publicHolidays.importId";"description"
"New Year's Day";"2014-01-01";1;"New Year's Day"
"Good Friday";"2014-04-18";1;"Good Friday"
"Easter Monday";"2014-04-21";1;"Easter Monday"
"Early May bank holiday";"2014-05-05";1;"Early May bank holiday"
"Spring bank holiday";"2014-05-26";1;"Spring bank holiday"
"Summer bank holiday";"2014-08-25";1;"Summer bank holiday"
"Christmas Day";"2015-12-25";1;"Christmas Day"
"Boxing Day";"2015-12-26";1;"Boxing Day"
"New Year's Day";"2015-01-01";1;"New Year's Day"
"Good Friday";"2015-04-03";1;"Good Friday"
"Easter Monday";"2015-04-06";1;"Easter Monday"
"Early May bank holiday";"2015-05-04";1;"Early May bank holiday"
"Spring bank holiday";"2015-05-25";1;"Spring bank holiday"
"Summer bank holiday";"2015-08-31";1;"Summer bank holiday"
"Christmas Day";"2015-12-25";1;"Christmas Day"
"Boxing Day";"2015-12-28";1;"Boxing Day"
