"domain","name","type","title","title_t","help","help_t"
"","","menu","Configuration","","",""
"","","menu","Currencies","","",""
"","","menu","Keywords","","",""
"","","menu","Periods","","",""
"","","menu","Sequences","","",""
"","","menu","Sources","","",""
"","","menu","All Status","","",""
"","","menu","Units","","",""
"","","menu","Unit conversions","","",""
"","","menu","Years","","",""
"","","menu","ERP Administration","","",""
"","","menu","Batches","","",""
"","","menu","Base batches","","",""
"","","menu","Modules configurations","","",""
"","","menu","General","","",""
"","","menu","General admin","","",""
"","","menu","Imports","","",""
"","","menu","Import permissions","","",""
"","","menu","Indicators generators","","",""
"","","menu","Indicators groups","","",""
"","","menu","Technical maintenance","","",""
"","","menu","Tracebacks","","",""
"","","menu","Organization","","",""
"","","menu","Countries","","",""
"","","menu","Regions","","",""
"","","menu","Territories","","",""
"","","menu","Cantons","","",""
"","","menu","Cities/Communes","","",""
"","","menu","Departments","","",""
"","","menu","Templating","","",""
"","","menu","Template","","",""
"","","menu","Template Rules","","",""
"","","menu","Users/Companies","","",""
"","","menu","Companies","","",""
"","","menu","Teams","","",""
"","","menu","Users","","",""
"","","menu","Configuration","","",""
"","","menu","Alarm engines","","",""
"","","menu","Alarm batches","","",""
"","","menu","All Messages","","",""
"","","menu","Alarmes","","",""
"","","menu","All Alarms","","",""
"","","menu","Configuration","","",""
"","","menu","Addresses","","",""
"","","menu","Partner categories","","",""
"","","menu","SWIFT codes","","",""
"","","menu","Bank details","","",""
"","","menu","Sites","","",""
"","","menu","Sources","","",""
"","","menu","Price lists","","",""
"","","menu","Companies/Contacts","","",""
"","","menu","Contacts","","",""
"","","menu","Accounts","","",""
"","","menu","Configuration","","",""
"","","menu","Partners lists","","",""
"","","menu","Email models","","",""
"","","menu","Mail models","","",""
"","","menu","Email/Mail model tags","","",""
"","","menu","Emails/Mails","","",""
"","","menu","All batchs emails","","",""
"","","menu","All Emails","","",""
"","","menu","All batchs mails","","",""
"","","menu","All Mails","","",""
"","","menu","Create Expense","","",""
"","","menu","Create Leave request","","",""
"","","menu","Create Timesheet","","",""
"","","menu","My DashBord","","",""
