"key","message","comment","context"
"Add Manu. Order","","","resources/views/ProductionOrder.xml:16"
"Add Manuf. Order","","","resources/views/ProductionOrder.xml:15
resources/views/ProductionOrder.xml:22"
"All Current Manufacturing Orders","","","resources/views/ManufacturingDashboard.xml:27"
"All Manufacturing Order Plannings","","","resources/views/ManufacturingDashboard.xml:35"
"All Upcoming Manufacturing Orders","","","resources/views/ManufacturingDashboard.xml:19"
"BOM","","","resources/views/ProductionOrderWizard.xml:14
resources/views/ProductionOrder.xml:20"
"Bill of material","","","resources/views/BillOfMaterial.xml:61
resources/views/BillOfMaterial.xml:52
resources/views/BillOfMaterial.xml:24
resources/views/BillOfMaterial.xml:16"
"Bills of material","","","resources/views/BillOfMaterial.xml:6
resources/views/BillOfMaterial.xml:39"
"Bills of materials","","","resources/views/menu.xml:12
resources/views/menu.xml:15"
"Business","","","resources/views/Business.xml:6"
"Cancel","","","resources/views/ManufOrder.xml:60
resources/views/ManufOrder.xml:47
resources/views/OperationOrder.xml:54
resources/views/ManufOrder.xml:24
resources/views/OperationOrder.xml:67
resources/views/OperationOrder.xml:36"
"Canceled","","","resources/views/Selects.xml:11"
"Cancelled MOs","","","resources/views/ManufOrder.xml:224"
"Cancelled Operations","","","resources/views/OperationOrder.xml:194"
"Capacity information","","","resources/views/ProdResource.xml:58
resources/views/ProdResource.xml:21"
"Charge by machine","","","resources/views/menu.xml:86
resources/views/ChargeByMachineDashboard.xml:6
resources/views/menu.xml:83"
"Charge previsionnelle par machine","","","resources/views/Charts.xml:457"
"Charge réelle par machine","","","resources/views/Charts.xml:7"
"Compute cost price","","","resources/views/BillOfMaterial.xml:31"
"Configurations","","","resources/views/menu.xml:92"
"Conforme","","","resources/views/ManufOrderSheet.xml:37"
"Conformité","","","resources/views/ManufOrderSheet.xml:24
resources/views/OperationOrder.xml:111
resources/views/ManufOrderSheet.xml:18"
"Consumed products","","","resources/views/OperationOrder.xml:102
resources/views/ManufOrder.xml:201
resources/views/ManufOrder.xml:105
resources/views/ManufOrder.xml:100"
"Cost","","","resources/views/BillOfMaterial.xml:30"
"Costing information","","","resources/views/ProdResource.xml:66
resources/views/ProdResource.xml:29"
"Dashboard","","","resources/views/ManufacturingDashboard.xml:12
resources/views/ManufacturingDashboard.xml:6"
"Dates","","","resources/views/ManufOrder.xml:78
resources/views/OperationOrder.xml:87"
"Default Machine informations","","","resources/views/ProdResource.xml:19
resources/views/ProdResource.xml:56"
"Description","","","resources/views/ProdProcessLine.xml:19
resources/views/ManufOrder.xml:114"
"Differences","","","resources/views/ManufOrder.xml:194"
"Draft","","","resources/views/Selects.xml:10"
"Draft MOs","","","resources/views/ManufOrder.xml:209"
"Draft Operations","","","resources/views/OperationOrder.xml:179"
"Finish","","","resources/views/ManufOrder.xml:59
resources/views/ManufOrder.xml:46
resources/views/OperationOrder.xml:35
resources/views/OperationOrder.xml:53
resources/views/ManufOrder.xml:23
resources/views/OperationOrder.xml:68"
"Finished","","","resources/views/Selects.xml:15"
"Finished MOs","","","resources/views/ManufOrder.xml:221"
"Finished Operations","","","resources/views/OperationOrder.xml:191"
"Finished products","","","resources/views/ManufOrder.xml:110"
"Generate waste stock move","","","resources/views/ManufOrder.xml:96"
"Human","","","resources/views/Selects.xml:20"
"Human and Machine","","","resources/views/Selects.xml:22"
"Human resources","","","resources/views/ProdResource.xml:36"
"In progress","","","resources/views/Selects.xml:13"
"Late Planned MOs","","","resources/views/ManufOrder.xml:230"
"Late Planned Operations","","","resources/views/OperationOrder.xml:200"
"Les pièces sont classées dans l'ordre allant du coté opposé au raccord tournant vers le raccord.","","","resources/views/ManufOrderSheet.xml:31"
"MOs Finished late","","","resources/views/ManufOrder.xml:233"
"MOs In Progress","","","resources/views/ManufOrder.xml:215"
"MOs In Standby","","","resources/views/ManufOrder.xml:218"
"MOs to invoice","","","resources/views/ManufOrder.xml:227"
"Machine","","","resources/views/Machine.xml:14
resources/views/ProdResource.xml:51
resources/views/Selects.xml:21"
"Machines","","","resources/views/menu.xml:107
resources/views/ProdResource.xml:39
resources/views/ProdResource.xml:45
resources/views/Machine.xml:6
resources/views/menu.xml:104"
"ManufOrder.billOfMaterial","","","java/com/axelor/apps/production/report/ITranslation.java:62"
"ManufOrder.effective","","","java/com/axelor/apps/production/report/ITranslation.java:66"
"ManufOrder.endDate","","","java/com/axelor/apps/production/report/ITranslation.java:71"
