"key","message","comment","context"
"1 month","","","resources/views/Selects.xml:21"
"1 month negociable","","","resources/views/Selects.xml:24"
"1 yr Univ.","","","resources/views/Selects.xml:220"
"1 yr.","","","resources/views/Selects.xml:228"
"10 yrs. or more","","","resources/views/Selects.xml:237"
"1st Interview","","","resources/views/Candidate.xml:78"
"1st RDV (green)","","","resources/views/Selects.xml:84"
"2 month","","","resources/views/Selects.xml:22"
"2 month negociable","","","resources/views/Selects.xml:25"
"2 yrs Univ.","","","resources/views/Selects.xml:221"
"2 yrs.","","","resources/views/Selects.xml:229"
"2nd Interview","","","resources/views/Candidate.xml:79"
"2nd RDV (green)","","","resources/views/Selects.xml:85"
"3 month","","","resources/views/Selects.xml:23"
"3 month negociable","","","resources/views/Selects.xml:26"
"3 yrs Univ.","","","resources/views/Selects.xml:222"
"3 yrs.","","","resources/views/Selects.xml:230"
"3rd Interview","","","resources/views/Candidate.xml:80"
"3rd RDV (orange)","","","resources/views/Selects.xml:86"
"4 yrs Univ.","","","resources/views/Selects.xml:223"
"4 yrs.","","","resources/views/Selects.xml:231"
"5 yrs Univ. or more","","","resources/views/Selects.xml:224"
"5 yrs.","","","resources/views/Selects.xml:232"
"6 yrs.","","","resources/views/Selects.xml:233"
"7 yrs.","","","resources/views/Selects.xml:234"
"8 yrs.","","","resources/views/Selects.xml:235"
"9 yrs.","","","resources/views/Selects.xml:236"
"Accepted","","","resources/views/Selects.xml:186"
"Action(s)","","","resources/views/Timesheet.xml:61
resources/views/Expense.xml:49
resources/views/Overtime.xml:38"
"Actions","","","resources/views/Project.xml:33
resources/views/Business.xml:29"
"Additionnal information","","","resources/views/Candidate.xml:121
resources/views/PersonalInfo.xml:8
resources/views/Employee.xml:54"
"Advance","","","resources/views/Advance.xml:15"
"Advances","","","resources/views/Advance.xml:7"
"Advantages","","","resources/views/Employee.xml:63"
"Agencies","","","resources/views/Agency.xml:6"
"Agency","","","resources/views/Agency.xml:11"
"All Candidates","","","resources/views/portal.xml:31"
"All Overtimes","","","resources/views/portal.xml:49"
"All Timesheets","","","resources/views/portal.xml:37"
"All Travel Expenses","","","resources/views/portal.xml:43"
"All leave requests","","","resources/views/portal.xml:55"
"Analytic axis","","","resources/views/Business.xml:134"
"Availability and Decision","","","resources/views/Candidate.xml:62"
"Awareness","","","resources/views/Competence.xml:33"
"Back to draft","","","resources/views/LeaveRequest.xml:62"
"Billable","","","resources/views/Project.xml:142"
"Bonus","","","resources/views/Bonus.xml:14"
"Bonuses","","","resources/views/Bonus.xml:7"
"Business","","","resources/views/Business.xml:17
resources/views/menu.xml:296
resources/views/Business.xml:6
resources/views/menu.xml:283
resources/views/menu.xml:299"
"BusinessSituation.contact","","","java/com/axelor/apps/organisation/report/ITranslation.java:39"
"BusinessSituation.currency","","","java/com/axelor/apps/organisation/report/ITranslation.java:37"
"BusinessSituation.description","","","java/com/axelor/apps/organisation/report/ITranslation.java:40"
"BusinessSituation.estimated","","","java/com/axelor/apps/organisation/report/ITranslation.java:45"
"BusinessSituation.expenses","","","java/com/axelor/apps/organisation/report/ITranslation.java:42"
"BusinessSituation.financialData","","","java/com/axelor/apps/organisation/report/ITranslation.java:48"
"BusinessSituation.followedBy","","","java/com/axelor/apps/organisation/report/ITranslation.java:36"
"BusinessSituation.margin","","","java/com/axelor/apps/organisation/report/ITranslation.java:43"
"BusinessSituation.marginPercent","","","java/com/axelor/apps/organisation/report/ITranslation.java:44"
"BusinessSituation.partner","","","java/com/axelor/apps/organisation/report/ITranslation.java:38"
"BusinessSituation.realEstimated","","","java/com/axelor/apps/organisation/report/ITranslation.java:46"
"BusinessSituation.realInvoiced","","","java/com/axelor/apps/organisation/report/ITranslation.java:47"
"BusinessSituation.revenues","","","java/com/axelor/apps/organisation/report/ITranslation.java:41"
"BusinessSituation.title","","","java/com/axelor/apps/organisation/report/ITranslation.java:35"
"CD","","","resources/views/Selects.xml:69"
"CEA","","","resources/views/Selects.xml:72"
"Cancel","","","resources/views/Timesheet.xml:64
resources/views/LeaveRequest.xml:59"
