key,message,comment,context
%s :\n Bank statement line %s amount can't be null,%s :\n Le montant de la ligne %s de relevé de compte ne peut être nul.,,java/com/axelor/apps/account/exception/IExceptionMessage.java:36
%s :\n Computed balance and Ending Balance must be equal,%s :\n La Balance calculée et la Balance de fin doivent être égales.,,java/com/axelor/apps/account/exception/IExceptionMessage.java:34
%s :\n MoveLine amount is not equals with bank statement line %s,%s :\n Le montant de la ligne d'écriture sélectionnée n'est pas égal au montant de la ligne du relevé de compte %s .,,java/com/axelor/apps/account/exception/IExceptionMessage.java:35
1 Month,1 Mois,,resources/views/Selects.xml:181
1 Year,1 An,,resources/views/Selects.xml:185
2 Months,2 Mois,,resources/views/Selects.xml:182
3 Months,3 Mois,,resources/views/Selects.xml:183
6 Months,6 Mois,,resources/views/Selects.xml:184
80,,,"resources/views/MoveTemplateLine.xml:22
resources/views/MoveTemplate.xml:37"
<font color=#953B39> OR </font>,<font color=#953B39> OU </font>,,"resources/views/PaymentVoucher.xml:59
resources/views/PaymentVoucher.xml:45"
Acc. Clearance,Apurage comptes,,resources/views/AccountConfig.xml:102
Account,Compte comptable,,"resources/views/Account.xml:29
resources/domains/MoveTemplateLine.xml:13"
Account Category,Catégorie de compte,,"resources/views/AccountCategory.xml:12
resources/views/AccountCategory.xml:6"
Account Category Line,Ligne de Catégorie de compte,,resources/views/AccountCategoryLine.xml:12
Account Category Lines,Lignes de Catégorie de compte,,resources/views/AccountCategoryLine.xml:6
Account Chart,Plan comptable,,"resources/views/AccountChart.xml:12
resources/views/AccountChart.xml:6"
Account Dashboard,Tb Comptes,,resources/views/menu.xml:735
Account Db,Tb Comptes,,resources/views/menu.xml:732
Account Invoice Summary,Situation facturation,,"resources/views/portal.xml:76
resources/views/charts.xml:6"
Account Nbr,N° Compte,,resources/views/BankDetails.xml:27
Account calculation configuration,Configuration calcul des comptes,,resources/views/AccountingBatch.xml:48
Account clearance,Apurement des comptes,,resources/views/AccountClearance.xml:18
Account clearance operations,Opérations d'apurement des comptes,,resources/views/AccountClearance.xml:6
Account configuration,Configuration comptable,,resources/views/AccountConfig.xml:11
Account configurations,Configurations comptables,,"resources/views/AccountConfig.xml:6
resources/views/menu.xml:660
resources/views/menu.xml:657"
Account equivalence,Equivalence de compte,,resources/views/AccountEquiv.xml:11
Account equivalences,Equivalences de compte,,resources/views/AccountEquiv.xml:6
Account management,Gestion de compte de comptable,,"resources/views/AccountManagement.xml:39
resources/views/AccountManagement.xml:16"
Account management list,Liste des gestions comptables,,resources/views/AccountManagement.xml:6
Account move,Écriture comptable,,resources/views/Move.xml:21
Account moves,Écritures comptable,,resources/views/Move.xml:5
Account type,Type de compte,,resources/views/AccountType.xml:8
Account types,Types de compte,,"resources/views/AccountType.xml:5
resources/views/menu.xml:456
resources/views/menu.xml:459"
Accounting,Comptabilité,,"resources/views/AccountConfig.xml:24
resources/views/menu.xml:790
resources/views/Invoice.xml:68
resources/views/menu.xml:123
resources/views/menu.xml:784"
Accounting Batch,Routine comptable,,resources/views/AccountingBatch.xml:15
Accounting Dashboard,Tb Comptabilité,,resources/views/portal.xml:69
Accounting Db,Tb Comptabilité,,resources/views/menu.xml:787
Accounting Exports/Reports,Exports/Rapports comptables,,resources/views/menu.xml:344
Accounting batches,Batchs de comptabilité,,"resources/views/menu.xml:651
resources/views/menu.xml:648
resources/views/AccountingBatch.xml:6"
Accounting configuration,Configuration comptable,,resources/views/Tax.xml:30
Accounting details,Informations comptables,,resources/views/Invoice.xml:69
Accounting export,Export comptable,,"resources/views/Move.xml:91
resources/views/MoveLineReport.xml:93"
Accounting exports,Exports comptables,,"resources/views/menu.xml:367
resources/views/MoveLineReport.xml:75
resources/views/menu.xml:370"
Accounting report,Rapport comptable,,resources/views/MoveLineReport.xml:29
Accounting reports,Rapports comptables,,"resources/views/menu.xml:357
resources/views/MoveLineReport.xml:8
resources/views/menu.xml:360"
Accounting situation,Situation comptable,,"resources/views/AccountingSituation.xml:39
resources/views/AccountingSituation.xml:15"
Accounting situations,Situations comptables,,"resources/views/AccountingSituation.xml:29
resources/views/AccountingSituation.xml:6"
Accounts,Tiers,,"resources/views/Account.xml:6
resources/views/AccountConfig.xml:42"
Action,Action,,"resources/views/Irrecoverable.xml:35
resources/views/ChequeRejection.xml:47"
Action(s),Action(s),,resources/views/Invoice.xml:127
Actions,Actions,,"resources/views/AccountClearance.xml:29
resources/views/Reimbursement.xml:29
resources/views/PaymentVoucher.xml:33
resources/views/Partner.xml:16
resources/views/Move.xml:84
resources/views/CashRegisterLine.xml:33
resources/views/ReminderMethodLine.xml:25"
Activities,Activités,,resources/views/Partner.xml:145
Add an email for payment through Paybox,Ajoutez un email pour le paiement par Paybox,,resources/views/PaymentVoucher.xml:73
Aged Balance,Balance âgée,,resources/views/Selects.xml:60
Alarm,Alarme,,resources/views/Selects.xml:124
All Payments,Tous les Paiements,,resources/views/menu.xml:796
Amount,Montant,,"resources/views/charts.xml:676
resources/views/charts.xml:572
resources/views/charts.xml:994
resources/views/charts.xml:818
resources/views/charts.xml:506
resources/views/charts.xml:27
resources/views/charts.xml:906
resources/views/charts.xml:390
resources/views/charts.xml:537
resources/views/charts.xml:640
resources/views/charts.xml:609
resources/views/charts.xml:711"
Amount paid,Montant payé,,"resources/views/charts.xml:433
resources/views/charts.xml:462"
Amounts to register,Montant à enregistrer,,resources/views/CashRegisterLine.xml:25
An accounting moveline must have higher a credit value or a debit value.,"Une ligne d'écriture doit soit avoir une valeur au crédit, soit avoir une valeur au débit.",,resources/views/MoveLine.xml:146
Analytic,Analytique,,resources/views/menu.xml:474
Analytic Acc. Mngmt,Gestion des comptes analytiques,,resources/views/AnalyticAccountManagement.xml:9
Analytic Acc. Mngmt List,Liste des comptes analytiques,,resources/views/AnalyticAccountManagement.xml:5
Analytic Account,Compte analytique,,resources/views/AnalyticAccount.xml:11
Analytic Accounts,Comptes analytiques,,resources/views/AnalyticAccount.xml:5
Analytic Axis,Axe analytique,,"resources/views/AnalyticAxis.xml:5
resources/views/AnalyticAxis.xml:9"
Analytic Journal,Journal analytique,,"resources/views/AnalyticJournal.xml:10
resources/views/AnalyticJournal.xml:5"
Analytic Journal Type,Type de journal analytique,,"resources/views/AnalyticJournalType.xml:9
resources/views/AnalyticJournalType.xml:5"
Analytic account,Compte analytique,,resources/views/AccountManagement.xml:23
Analytic accounts,Comptes analytiques,,"resources/views/menu.xml:486
resources/views/menu.xml:489"
Analytic axis,Axe analytique,,"resources/views/menu.xml:498
resources/views/menu.xml:495"
Analytic journals,Journaux analytiques,,"resources/views/menu.xml:480
resources/views/menu.xml:477"
Analytics,Analytiques,,"resources/views/MoveLine.xml:64
resources/views/Move.xml:74
resources/views/MoveLine.xml:110"
Anomalies,Anomalies,,"resources/views/Irrecoverable.xml:37
resources/views/Irrecoverable.xml:57"
Archived ?,Archivé(e) ?,,resources/views/AccountingBatch.xml:20
Asset,Capitaux,,resources/views/Selects.xml:20
Assigned to,Assigné(e) à,,resources/views/Partner.xml:107
Associated MoveLine,Ligne d'Ecr. Associée,,resources/views/BankStatementLine.xml:25
B2B,Factures B2B,,resources/views/Invoice.xml:358
B2C,Factures B2C,,resources/views/Invoice.xml:361
BIC (Bank Identifier Code),,,resources/views/BankDetails.xml:37
Balance,Balance,,"resources/views/BankStatement.xml:33
resources/views/Selects.xml:59"
Bank,Banque,,"resources/views/BankDetails.xml:19
resources/views/BankDetails.xml:25"
Bank Rejects mails,Courriers de rejet,,"resources/views/menu.xml:621
resources/views/menu.xml:624"
Bank Statement,Rapprochement bancaire,,"resources/views/menu.xml:275
resources/views/menu.xml:271
resources/views/BankStatement.xml:18
resources/views/menu.xml:278"
Bank Statement Line,Ligne du relevé de compte,,"resources/views/menu.xml:286
resources/views/BankStatementLine.xml:16
resources/views/menu.xml:289"
Bank Statement Lines,Lignes du relevé de compte,,resources/views/BankStatementLine.xml:6
Bank Statements,Rapprochements bancaires,,resources/views/BankStatement.xml:6
Bank card,Carte bancaire,,resources/views/Selects.xml:194
Bank details,Coordonnées bancaires,,"resources/views/BankDetails.xml:6
resources/views/BankDetails.xml:13"
Blocking reason/reject codes list,Liste des codes motifs de rejet/retour,,resources/views/InterbankCodeLine.xml:12
Blocking reason/reject codes lists,Listes des codes motifs de rejet/retour,,"resources/views/InterbankCode.xml:5
resources/views/InterbankCode.xml:26
resources/views/InterbankCodeLine.xml:5
resources/views/InterbankCode.xml:10
resources/views/InterbankCode.xml:20"
Blockings,Blocages,,"resources/views/Invoice.xml:90
resources/views/Partner.xml:117"
CFONB,CFONB,,resources/views/AccountConfig.xml:62
CFONB Export,Export CFONB,,resources/views/CfonbConfig.xml:16
CFONB Import,Import CFONB,,resources/views/CfonbConfig.xml:25
Cancel,Annuler,,"resources/views/Invoice.xml:132
resources/views/PaymentSchedule.xml:42"
Canceled,Annulé(e),,"resources/views/Reconcile.xml:63
resources/views/Selects.xml:53
resources/views/Selects.xml:79
resources/views/Selects.xml:46"
Canceled Moves,Ecritures Annulées,,resources/views/Move.xml:176
Cash,Liquidité,,"resources/views/Selects.xml:193
resources/views/Selects.xml:21"
Cash payments summary,Récapitulation des reçus espèces,,resources/views/Selects.xml:62
Cash register,Caisse,,resources/views/CashRegister.xml:10
Cash register closing,Fermeture de caisse,,"resources/views/CashRegisterLine.xml:18
resources/views/CashRegisterLine.xml:6"
Cash register closure,Fermeture Caisse,,"resources/views/menu.xml:228
resources/views/menu.xml:231"
Cash register emails,Emails de caisse,,"resources/views/menu.xml:585
resources/views/menu.xml:588"
Cash register mails,Courriers de caisse,,"resources/views/menu.xml:636
resources/views/menu.xml:633"
Cash registers,Caisses,,"resources/views/CashRegister.xml:5
resources/views/menu.xml:383
resources/views/menu.xml:380"
Cashiers,Caisses,,resources/views/AccountConfig.xml:53
